Age,Previously_Insured,Vehicle_Damage,Annual_Premium,Vintage,Response,Predicted
55,0,1,36512.0,87,1,1
42,1,0,2630.0,238,0,0
21,0,1,39458.0,181,1,1
48,0,1,46642.0,43,1,1
22,1,0,25854.0,228,0,0
41,0,1,2630.0,139,1,1
68,0,1,53088.0,49,1,1
33,1,0,28865.0,105,0,0
33,0,1,22698.0,96,1,1
47,0,1,48573.0,271,0,1
25,0,1,43781.0,105,1,1
62,0,1,33641.0,23,1,1
44,0,1,35390.0,36,1,1
43,0,1,28691.0,226,1,1
23,0,1,36847.0,236,1,1
26,0,1,67317.0,238,0,1
49,0,1,37922.0,207,1,1
32,0,1,2630.0,265,1,1
25,1,0,37015.0,88,0,0
27,1,0,47396.0,24,0,0
57,0,1,41259.0,231,1,1
27,0,0,21412.0,52,0,0
59,0,1,48422.0,186,1,1
76,1,0,43593.0,265,0,0
43,0,1,28285.0,218,1,1
38,0,1,26544.0,71,1,1
35,0,1,25355.0,144,0,1
37,0,1,2630.0,262,1,1
25,1,0,37613.0,200,0,0
35,0,1,26401.0,211,1,1
35,0,1,2630.0,77,1,1
22,1,0,27532.0,249,0,0
20,0,1,31468.0,283,0,0
69,1,0,30865.0,159,0,0
23,0,1,2630.0,139,1,1
37,0,1,37896.0,232,1,1
60,0,0,28277.0,258,0,0
49,0,1,36151.0,205,1,1
28,1,0,20147.0,178,0,0
46,0,1,54776.0,172,1,1
47,1,0,72775.0,25,0,0
50,0,1,34691.0,266,1,1
25,1,0,40932.0,192,0,0
46,0,0,2630.0,238,0,0
49,0,1,32306.0,41,1,1
60,0,0,32772.0,42,0,0
62,0,1,2630.0,157,0,1
50,0,1,36932.0,297,0,0
24,1,0,27450.0,163,0,0
27,0,1,2630.0,157,0,0
49,0,1,47040.0,137,1,1
48,0,1,40989.0,230,1,1
25,1,0,30175.0,98,0,0
25,1,0,29890.0,53,0,0
28,1,0,30535.0,192,0,0
51,0,1,45981.0,268,1,1
21,1,0,32204.0,221,0,0
42,0,1,28983.0,136,1,1
59,0,1,41865.0,172,1,1
32,0,1,28973.0,44,0,0
46,0,1,2630.0,30,1,1
42,0,1,31855.0,298,1,1
46,0,1,35693.0,281,1,1
49,0,1,32469.0,141,0,0
29,1,0,37118.0,254,0,0
34,1,0,26431.0,224,0,0
48,0,1,40936.0,109,1,1
46,0,1,44129.0,121,1,1
49,0,1,2630.0,260,1,1
23,0,1,2630.0,237,1,1
31,0,1,71328.0,263,1,1
25,0,1,42375.0,178,0,0
47,0,1,46415.0,193,0,1
53,0,1,2630.0,80,1,1
46,0,1,25778.0,66,0,1
48,0,1,2630.0,113,0,0
76,0,1,2630.0,203,1,1
47,0,1,33230.0,113,1,1
57,0,1,32872.0,50,0,1
59,1,0,24024.0,175,0,0
40,0,1,29468.0,99,1,1
25,1,0,38087.0,236,0,0
53,0,1,2630.0,156,1,1
43,0,1,2630.0,214,1,1
73,0,1,30092.0,142,0,0
27,1,0,33772.0,22,0,0
45,0,1,2630.0,80,1,1
30,0,1,29193.0,266,1,1
48,0,1,39307.0,202,1,1
69,0,1,52605.0,108,1,1
33,0,1,24423.0,65,1,1
22,1,0,36720.0,26,0,0
36,0,1,37974.0,194,0,1
40,0,1,24247.0,79,0,0
40,0,1,25515.0,213,1,1
46,0,1,37767.0,185,1,1
54,0,1,49837.0,292,1,1
24,0,1,26945.0,94,1,1
58,0,1,34334.0,117,1,1
39,0,1,38615.0,186,0,0
69,1,0,21303.0,92,0,0
72,0,1,43820.0,19,0,0
50,0,1,43263.0,66,1,1
36,0,1,30877.0,184,1,1
51,0,1,34013.0,123,1,1
58,0,1,26474.0,196,1,1
62,0,1,28051.0,196,1,1
72,1,0,47127.0,91,0,0
58,0,1,54860.0,40,0,1
24,1,0,39994.0,221,0,0
30,0,1,81859.0,147,1,1
21,1,0,32223.0,73,0,0
50,1,0,26258.0,294,0,0
44,1,0,26354.0,263,0,0
68,0,1,38259.0,240,0,0
24,0,0,2630.0,268,0,0
46,0,1,38358.0,65,1,1
41,0,1,33900.0,196,1,1
51,1,0,64831.0,84,0,0
25,0,1,20880.0,206,0,0
37,0,1,43942.0,180,1,1
42,0,1,24498.0,128,0,1
35,0,1,24076.0,219,1,1
60,0,1,44235.0,202,1,1
46,1,0,2630.0,69,0,0
50,0,1,26502.0,62,0,1
24,0,1,22423.0,33,1,1
29,1,0,31131.0,267,0,0
62,0,1,29219.0,120,1,1
44,0,1,2630.0,11,1,1
42,0,1,2630.0,295,1,1
23,1,0,29309.0,119,0,0
56,0,1,19924.0,217,0,1
44,0,1,30798.0,144,1,1
40,0,1,45512.0,79,1,1
44,0,1,44372.0,80,0,0
36,1,0,2630.0,276,0,0
21,1,0,31760.0,11,0,0
69,0,1,2630.0,129,0,0
35,0,1,2630.0,123,0,1
24,1,0,34645.0,192,0,0
52,0,1,39607.0,73,0,0
28,0,1,40900.0,265,0,0
24,1,0,56267.0,161,0,0
46,0,1,36009.0,143,1,1
38,0,1,27824.0,199,1,1
32,0,1,64759.0,114,1,1
21,1,0,24858.0,255,0,0
66,0,0,67546.0,273,0,0
28,0,0,49443.0,48,0,0
22,1,0,20647.0,140,0,0
48,0,1,2630.0,146,1,1
28,0,1,2630.0,168,1,1
22,1,0,24169.0,105,0,0
39,0,1,28119.0,200,0,0
34,1,0,33186.0,28,0,0
22,1,1,25858.0,72,0,0
59,1,0,74685.0,211,0,0
47,0,1,35885.0,194,1,1
48,0,1,41519.0,256,1,1
27,0,1,47069.0,276,0,1
48,1,0,37299.0,55,0,0
54,0,1,31713.0,270,0,1
56,0,1,2630.0,211,0,1
68,0,1,25284.0,86,0,0
30,0,1,18198.0,283,1,1
21,0,1,34595.0,296,0,0
46,0,1,42105.0,76,1,1
31,0,1,2630.0,62,1,1
28,0,1,41226.0,213,0,0
35,0,1,2630.0,93,1,1
45,0,1,28270.0,23,1,1
57,0,1,34500.0,82,1,1
21,0,1,2630.0,270,1,1
69,0,1,76574.0,45,1,1
40,0,1,44455.0,120,1,1
30,0,1,43633.0,70,1,1
51,0,1,39939.0,266,1,1
44,0,1,2630.0,63,1,0
45,0,1,36912.0,50,1,1
60,0,1,2630.0,130,0,1
47,0,1,36018.0,110,1,1
33,0,1,2630.0,251,1,1
45,0,1,25620.0,152,0,0
58,0,1,2630.0,196,0,1
46,0,1,28929.0,227,1,1
48,0,1,26209.0,291,1,1
44,0,1,34784.0,190,1,1
66,0,1,35929.0,189,1,1
24,0,1,34975.0,68,0,0
26,1,0,27557.0,68,0,0
33,0,0,2630.0,109,1,1
33,0,1,29112.0,172,1,1
69,0,1,2630.0,114,0,0
48,0,1,31660.0,239,1,1
35,1,0,35335.0,81,0,0
33,1,0,2630.0,84,0,0
69,0,1,43032.0,31,0,1
27,1,0,59246.0,262,0,0
42,0,1,40613.0,242,0,0
20,1,0,2630.0,78,0,0
24,1,0,24112.0,158,0,0
55,1,0,2630.0,283,0,0
23,1,0,34518.0,147,0,0
40,0,1,45980.0,147,1,1
34,0,1,59065.0,96,1,1
48,0,1,33039.0,171,1,1
24,1,0,42574.0,190,0,0
46,0,1,34917.0,114,1,1
23,0,1,2630.0,210,1,1
48,0,1,45781.0,257,1,1
49,0,1,56837.0,197,1,1
23,0,0,2630.0,241,0,0
39,0,0,37426.0,26,0,0
42,0,1,2630.0,84,1,1
47,0,1,44326.0,119,1,1
30,0,1,26589.0,236,1,1
47,0,1,2630.0,68,1,1
40,0,1,28485.0,48,1,1
20,0,1,25362.0,14,0,0
40,0,1,32765.0,177,1,1
23,1,0,31821.0,39,0,0
38,0,1,25049.0,262,1,1
63,1,1,29343.0,150,0,0
23,1,0,41810.0,184,0,0
59,0,1,2630.0,296,1,1
58,0,1,39441.0,72,0,0
26,0,1,28142.0,221,1,1
40,0,1,57259.0,229,1,1
51,0,1,36272.0,207,1,1
47,0,1,34330.0,247,0,0
42,0,1,19468.0,81,1,1
31,1,0,35007.0,34,0,0
47,0,1,2630.0,247,1,1
31,0,1,22953.0,96,1,1
21,0,1,35517.0,55,0,0
58,0,1,43783.0,15,0,0
24,0,0,22656.0,112,0,0
42,0,1,2630.0,133,0,1
24,0,0,28945.0,138,0,0
42,0,1,27902.0,33,1,1
40,0,1,46129.0,97,0,0
20,0,1,44161.0,221,1,1
39,0,1,2630.0,24,0,1
48,0,0,2630.0,94,1,1
46,0,1,47788.0,130,0,1
73,0,1,30117.0,11,1,1
24,0,1,47055.0,269,1,1
67,0,1,2630.0,47,1,1
41,0,1,45628.0,112,1,1
40,0,1,33520.0,72,0,1
27,1,0,26093.0,233,0,0
44,0,1,26349.0,228,0,0
21,0,1,27950.0,240,1,1
40,0,1,34122.0,201,1,1
50,0,1,28469.0,134,1,1
47,0,1,37233.0,193,0,1
24,0,1,42388.0,138,0,0
48,0,1,54789.0,195,0,1
22,1,0,33557.0,142,0,0
25,0,0,22365.0,118,1,1
76,0,1,27917.0,153,1,1
35,0,1,2630.0,241,1,1
58,0,1,43269.0,265,1,1
61,0,1,63027.0,266,1,1
50,0,1,39520.0,272,1,1
71,1,1,2630.0,140,0,0
60,0,1,29717.0,177,1,1
44,0,1,24172.0,194,0,1
74,0,1,99528.0,281,0,0
40,1,0,2630.0,96,0,0
72,0,1,31050.0,136,0,1
41,1,1,39257.0,104,0,0
22,0,1,41280.0,297,1,1
48,0,1,27932.0,72,1,1
27,0,1,45345.0,221,1,1
57,0,1,26893.0,56,1,1
30,0,1,56811.0,101,1,1
40,0,1,21993.0,124,1,1
28,0,1,2630.0,34,0,1
38,0,1,39426.0,269,1,1
52,0,1,40709.0,182,1,1
30,0,0,2630.0,211,1,1
58,0,1,78895.0,80,1,1
57,0,1,37823.0,127,0,0
60,0,1,18194.0,56,1,1
49,0,1,2630.0,194,0,1
24,1,0,40481.0,218,0,0
58,0,1,2630.0,90,1,1
44,0,1,30009.0,128,1,1
25,1,0,29086.0,139,0,0
66,0,1,44620.0,21,0,0
35,0,1,25631.0,206,1,1
26,1,0,27095.0,56,0,0
38,0,1,59443.0,95,1,1
27,0,1,20836.0,59,1,1
25,1,0,2630.0,266,0,0
38,0,1,45136.0,197,1,1
21,1,0,33178.0,266,0,0
22,0,1,28927.0,239,0,0
30,0,1,2630.0,197,0,0
70,0,1,44149.0,111,1,1
54,0,1,36957.0,62,1,1
68,1,0,33625.0,148,0,0
41,0,1,44171.0,284,1,1
52,0,1,36933.0,47,0,1
47,0,1,27450.0,115,1,1
22,1,0,33857.0,281,0,0
37,0,1,33151.0,292,1,1
23,1,0,27357.0,176,0,0
42,1,0,31390.0,217,0,0
37,0,1,45249.0,286,1,1
21,0,1,21019.0,27,0,0
68,0,1,2630.0,171,1,1
38,1,0,37202.0,183,0,0
23,0,1,31570.0,267,1,1
59,0,1,38704.0,51,1,1
58,1,0,28515.0,81,0,0
24,0,1,31613.0,222,1,1
41,0,1,38151.0,201,1,1
28,1,0,34931.0,265,0,0
24,1,0,26545.0,224,0,0
28,0,1,40838.0,252,0,0
24,1,0,30239.0,58,0,0
39,0,1,29182.0,278,1,1
30,1,0,24519.0,269,0,0
60,0,1,50572.0,198,1,1
42,0,1,38327.0,165,0,1
43,0,1,62388.0,130,1,1
35,1,1,2630.0,190,0,0
76,0,1,36558.0,46,1,1
45,0,1,2630.0,54,1,1
46,0,1,23800.0,254,1,1
41,0,1,31070.0,198,1,1
46,0,1,32784.0,215,0,1
60,0,1,37850.0,280,1,1
21,0,1,33953.0,275,1,1
36,0,1,33024.0,49,0,0
65,0,1,30352.0,184,0,0
43,0,1,75312.0,186,1,1
23,1,0,25062.0,49,0,0
31,0,1,27084.0,134,1,1
69,1,0,54735.0,110,1,1
42,0,1,29942.0,44,0,1
46,1,0,33637.0,91,0,0
45,0,1,28508.0,270,1,1
29,1,0,2630.0,270,0,0
26,0,1,29100.0,215,0,0
25,0,1,25602.0,150,1,1
22,0,1,29424.0,239,1,1
37,0,1,42741.0,150,1,1
59,0,1,52060.0,66,1,1
42,1,0,2630.0,38,0,0
25,1,0,29830.0,35,0,0
43,0,0,2630.0,213,0,0
22,0,1,2630.0,189,1,1
33,0,1,37519.0,15,1,1
23,0,0,45600.0,212,0,0
39,0,1,2630.0,24,0,1
47,0,1,24821.0,134,0,0
44,0,1,42100.0,254,1,1
22,1,0,33030.0,25,0,0
43,0,1,23844.0,220,1,1
31,1,1,30265.0,217,0,0
47,0,1,29711.0,163,1,1
43,0,1,31988.0,246,0,0
23,1,0,29185.0,76,0,0
46,0,1,30656.0,113,1,1
28,0,1,2630.0,266,1,1
39,0,1,34866.0,120,1,1
61,0,1,37827.0,56,1,1
38,0,1,53400.0,42,0,0
41,0,1,38017.0,43,1,1
27,1,0,26070.0,187,0,0
55,0,1,2630.0,229,1,1
52,0,1,2630.0,237,1,1
22,0,0,33149.0,149,0,0
24,1,0,25575.0,242,0,0
40,0,1,28138.0,150,0,1
63,1,0,27146.0,266,0,0
41,0,1,41036.0,13,1,1
45,0,1,2630.0,221,0,1
39,0,1,47524.0,293,1,1
37,0,1,32926.0,56,0,0
50,0,1,2630.0,122,0,0
43,0,1,26974.0,205,1,1
22,0,1,21492.0,234,1,1
66,0,1,31111.0,294,1,1
55,0,1,2630.0,290,1,1
24,1,0,31953.0,83,0,0
26,0,0,39964.0,71,0,0
37,1,0,29150.0,122,0,0
43,0,1,75312.0,186,1,1
54,0,1,43466.0,284,1,1
54,0,1,36684.0,202,0,0
39,0,1,2630.0,238,1,1
45,0,1,36639.0,146,1,1
45,0,1,27392.0,180,1,1
28,0,1,27072.0,279,1,1
35,0,1,29693.0,144,1,1
24,0,1,32109.0,94,1,1
22,0,0,2630.0,158,0,0
64,1,1,37962.0,164,0,0
41,0,1,2630.0,132,1,1
37,0,1,31834.0,121,1,1
25,0,1,48134.0,144,1,1
70,1,0,67490.0,224,0,0
57,0,1,27084.0,61,1,1
54,1,0,23638.0,72,0,0
49,0,1,42698.0,260,1,1
51,0,1,58316.0,243,0,0
27,0,1,31175.0,83,1,1
42,0,1,2630.0,97,1,1
26,1,0,2630.0,128,0,0
42,1,0,22101.0,23,0,0
34,0,1,40891.0,47,1,1
73,0,1,39955.0,222,0,0
44,0,1,49131.0,88,0,1
39,0,1,37698.0,25,0,1
36,0,1,30174.0,86,1,1
44,0,1,66414.0,63,0,1
40,0,1,46448.0,225,1,1
78,0,1,31692.0,83,1,1
54,1,1,2630.0,148,0,0
33,0,1,2630.0,153,1,1
45,0,1,30503.0,149,0,0
44,1,0,40307.0,282,0,0
47,0,1,45926.0,298,1,1
40,0,1,2630.0,192,1,1
26,0,1,35396.0,249,0,0
32,0,1,79681.0,109,1,1
23,1,0,37841.0,254,0,0
26,0,1,17831.0,89,0,0
53,0,1,34234.0,205,0,0
39,0,1,27637.0,207,1,1
47,1,0,38294.0,18,0,0
50,0,1,30135.0,64,1,1
65,0,1,32849.0,233,1,1
47,1,0,37358.0,65,0,0
50,0,1,46046.0,235,1,1
56,0,1,51476.0,237,1,1
48,1,0,22809.0,43,0,0
46,0,1,34917.0,114,1,1
28,1,0,27282.0,280,0,0
56,0,1,43865.0,254,1,1
42,0,1,33546.0,151,1,1
70,0,1,24562.0,295,1,1
40,0,1,36799.0,157,1,1
71,0,1,29369.0,109,1,1
26,1,0,31490.0,254,0,0
53,0,1,30187.0,65,1,1
41,0,1,27691.0,92,1,1
23,0,1,27658.0,114,1,1
39,0,1,52619.0,44,1,1
33,0,1,2630.0,24,1,1
45,0,1,42871.0,134,1,1
65,0,1,69856.0,283,1,1
63,0,1,47127.0,250,1,1
42,0,1,29783.0,24,1,1
21,0,1,36238.0,155,0,0
25,0,1,38738.0,264,0,0
41,0,1,41900.0,284,1,1
38,0,1,2630.0,37,1,1
38,1,0,24886.0,258,0,0
31,0,1,51937.0,190,1,1
70,1,0,31255.0,183,0,0
60,0,1,33833.0,189,1,1
31,0,1,2630.0,284,1,1
44,0,1,2630.0,290,1,1
58,0,1,43990.0,34,1,1
29,1,0,2630.0,203,0,0
41,0,0,2630.0,227,0,0
44,0,0,31721.0,83,1,1
33,0,1,19684.0,255,1,1
55,0,1,2630.0,287,0,0
28,1,0,36871.0,130,0,0
69,0,1,38261.0,271,1,1
58,0,0,29512.0,21,1,1
24,0,1,30120.0,161,0,0
46,0,1,40484.0,54,1,1
60,0,0,32066.0,139,0,0
28,1,0,74671.0,267,0,0
20,0,1,35785.0,163,0,0
28,0,0,2630.0,76,1,1
48,0,1,28496.0,10,1,1
42,0,1,35684.0,178,1,1
42,0,1,29737.0,162,1,1
46,0,1,29966.0,281,1,1
42,0,1,34649.0,120,1,1
34,0,1,39981.0,46,1,1
49,0,1,2630.0,152,1,1
49,0,1,29676.0,180,1,1
45,0,1,34029.0,293,1,1
29,0,0,2630.0,160,0,0
24,1,0,35792.0,253,0,0
21,0,1,43664.0,193,0,1
34,0,1,33113.0,255,1,1
40,0,1,27664.0,234,1,1
36,0,1,36837.0,271,0,1
43,0,1,2630.0,287,1,1
60,0,1,2630.0,135,1,1
80,0,1,57911.0,179,1,1
74,0,0,31070.0,251,0,0
43,1,0,26877.0,31,0,0
74,0,1,43864.0,229,0,0
23,1,0,32932.0,126,0,0
28,0,0,29552.0,110,1,1
31,0,1,19645.0,54,1,1
42,0,1,2630.0,204,1,1
23,1,0,29412.0,35,0,0
22,0,1,31078.0,32,1,1
23,1,0,51266.0,95,0,0
60,0,1,63268.0,122,0,0
24,1,0,44473.0,207,0,0
57,0,1,42744.0,121,1,1
53,0,1,2630.0,127,0,0
52,0,1,33075.0,135,1,1
47,0,1,2630.0,40,1,1
27,0,1,59001.0,297,0,1
52,0,1,35068.0,249,0,0
51,0,1,41207.0,114,1,1
43,0,1,29385.0,27,1,1
59,0,1,37227.0,260,1,1
43,0,1,27878.0,111,1,1
43,0,1,2630.0,57,1,1
34,0,1,32430.0,297,1,1
70,0,1,2630.0,34,0,0
20,0,1,2630.0,298,1,1
33,0,1,34675.0,247,1,1
55,0,1,38050.0,93,1,1
29,0,0,2630.0,242,0,0
46,0,1,2630.0,107,0,1
68,1,0,30959.0,128,0,0
75,0,1,42911.0,156,1,1
27,1,0,34216.0,179,0,0
45,0,1,2630.0,193,1,1
58,0,1,34624.0,293,0,1
51,0,1,24523.0,249,1,1
45,0,1,26555.0,92,1,1
46,0,0,2630.0,210,0,0
45,0,1,2630.0,90,1,1
47,0,1,68352.0,207,1,1
37,0,1,2630.0,69,0,1
23,1,0,27497.0,246,0,0
79,0,1,27435.0,219,0,0
54,0,1,62712.0,143,1,1
70,0,1,42247.0,169,0,1
42,0,1,34506.0,45,1,1
23,0,1,38158.0,118,0,1
28,1,0,33520.0,256,0,0
55,0,1,33872.0,237,1,1
64,0,1,31162.0,56,1,1
26,0,1,37577.0,188,1,1
59,0,1,31773.0,129,0,1
58,0,1,48483.0,231,0,0
25,1,0,65992.0,86,0,0
42,0,1,39144.0,201,1,1
44,0,1,25157.0,176,1,1
70,0,1,2630.0,79,0,0
34,0,1,2630.0,96,0,1
33,0,1,2630.0,11,1,1
36,0,1,2630.0,287,0,0
35,0,1,40198.0,51,1,1
35,0,1,25048.0,83,1,1
21,0,1,25024.0,20,0,0
46,0,1,39233.0,42,1,1
33,0,1,32765.0,105,1,1
49,1,0,36918.0,187,0,0
54,1,0,37467.0,282,0,0
53,0,1,20864.0,145,0,0
34,0,1,2630.0,248,1,1
36,0,1,2630.0,140,0,0
48,0,0,37074.0,104,0,0
42,0,1,24057.0,289,1,1
49,1,0,19991.0,34,0,0
52,1,0,32941.0,217,0,0
20,0,1,35773.0,229,0,0
41,0,1,34596.0,180,1,1
46,0,1,37628.0,44,1,1
55,0,1,38229.0,61,1,1
25,1,0,28585.0,233,0,0
33,0,1,69646.0,185,1,1
73,0,1,72043.0,61,1,1
47,0,1,30824.0,94,1,1
24,1,0,36903.0,123,0,0
29,0,1,26229.0,138,0,0
47,0,1,53169.0,272,0,1
68,0,1,39361.0,22,0,0
45,1,0,41113.0,58,0,0
45,0,1,54740.0,187,0,0
32,0,1,51089.0,100,1,1
61,0,1,46253.0,70,0,0
42,0,1,39624.0,226,1,1
23,0,1,56702.0,290,1,1
70,0,1,33693.0,62,0,1
58,0,0,35541.0,107,0,0
68,0,1,2630.0,297,1,1
74,0,1,64612.0,97,1,1
50,0,1,2630.0,95,1,1
62,1,0,49355.0,194,0,0
48,0,1,2630.0,283,0,1
28,0,0,2630.0,46,0,0
31,0,0,45714.0,101,0,0
26,0,1,32358.0,143,1,1
24,1,0,31332.0,111,0,0
42,0,1,39144.0,13,1,1
25,0,1,51557.0,162,1,1
30,1,0,28276.0,200,0,0
43,0,1,41740.0,266,1,1
37,0,1,2630.0,66,1,1
49,1,0,35793.0,123,0,0
47,0,1,34000.0,139,1,1
42,0,1,41147.0,275,0,0
43,0,1,40586.0,164,1,1
33,0,1,24284.0,39,1,1
29,0,1,40927.0,218,1,1
45,0,1,52747.0,147,1,1
39,1,0,23801.0,139,0,0
57,0,1,37899.0,180,1,1
65,0,1,33324.0,50,0,0
58,0,0,40699.0,284,1,1
64,0,1,38578.0,139,1,1
69,1,0,36815.0,137,0,0
36,0,1,31410.0,115,0,1
30,0,1,48042.0,110,1,1
59,0,1,65268.0,71,1,1
47,0,1,35931.0,199,0,1
46,0,1,41400.0,186,1,1
39,1,0,42372.0,14,0,0
40,0,1,38890.0,220,1,1
42,0,1,2630.0,179,1,1
61,0,1,33283.0,276,0,0
52,0,1,2630.0,261,0,1
67,0,1,32760.0,101,1,1
28,0,1,42532.0,127,1,1
40,0,1,57258.0,139,1,1
56,0,1,2630.0,256,1,1
36,1,0,39720.0,279,0,0
26,1,0,47541.0,134,0,0
76,0,1,64024.0,227,1,1
45,0,1,33403.0,39,1,1
24,1,0,32947.0,276,0,0
68,0,1,34987.0,122,0,1
37,0,1,40689.0,267,1,1
49,0,1,23923.0,243,1,1
50,0,1,51415.0,290,1,1
43,0,1,28971.0,287,0,0
41,0,1,39675.0,103,1,1
48,0,1,37492.0,201,1,1
20,0,1,40584.0,261,1,1
29,1,0,2630.0,288,0,0
51,0,1,36760.0,94,0,1
24,1,1,2630.0,83,0,0
50,0,1,41943.0,169,1,1
23,1,0,30522.0,208,0,0
60,1,0,34019.0,102,0,0
28,0,0,34493.0,42,0,0
54,0,1,21856.0,194,1,1
23,1,0,26393.0,17,0,0
61,0,1,30598.0,118,0,0
44,0,1,2630.0,142,0,1
21,1,0,30241.0,263,0,0
67,0,1,45316.0,248,1,1
59,0,1,47303.0,275,1,1
45,1,0,31795.0,252,0,0
45,0,1,49589.0,287,1,1
62,0,1,44901.0,42,0,1
37,0,0,233713.0,125,0,0
40,0,1,30114.0,31,1,1
21,1,1,26651.0,101,0,0
20,0,1,47578.0,27,0,0
25,1,0,28510.0,252,0,0
73,0,1,31041.0,239,1,1
39,0,1,27333.0,32,0,0
42,0,1,41344.0,98,1,1
35,0,1,2630.0,273,1,0
31,1,0,2630.0,261,0,0
24,1,0,47665.0,172,0,0
31,0,1,46851.0,268,1,1
24,0,1,27198.0,208,1,1
46,0,1,50185.0,136,0,0
43,0,1,36937.0,169,1,1
44,0,1,46398.0,210,1,1
28,1,0,68269.0,235,0,0
35,0,1,27107.0,105,0,0
33,0,1,31406.0,274,1,1
40,0,1,26089.0,153,0,0
25,1,0,40481.0,130,0,0
47,0,1,23805.0,169,1,1
45,0,1,32257.0,82,1,1
23,1,0,21217.0,264,0,0
55,0,1,57863.0,181,1,1
24,1,0,51391.0,224,0,0
67,0,1,29118.0,115,1,1
21,1,0,43526.0,102,0,0
39,0,1,25414.0,46,1,1
22,1,0,31937.0,113,0,0
47,0,1,2630.0,161,0,1
51,0,1,35916.0,62,0,0
39,0,1,39469.0,116,1,1
62,0,1,30458.0,45,1,1
20,0,1,24366.0,10,1,1
20,1,0,2630.0,298,0,0
25,1,0,32603.0,229,0,0
54,0,1,2630.0,67,0,1
30,0,1,34235.0,105,0,0
40,1,0,36154.0,92,0,0
42,0,1,52255.0,236,1,1
29,1,0,24103.0,168,0,0
36,0,1,35110.0,74,0,1
22,1,0,30256.0,239,0,0
42,0,1,37023.0,274,1,1
27,0,1,32831.0,52,1,1
34,0,1,31479.0,277,1,1
68,1,1,45587.0,45,0,0
23,0,1,41273.0,168,1,1
37,0,1,23423.0,51,1,1
44,0,1,38640.0,287,1,1
27,0,0,52390.0,18,0,0
39,0,1,39690.0,142,0,1
25,1,0,41404.0,232,0,0
55,0,1,38911.0,78,0,0
35,0,1,37637.0,284,1,1
35,0,1,42889.0,202,1,1
33,0,1,26517.0,128,1,1
47,0,1,36928.0,267,1,1
36,0,1,2630.0,289,1,1
23,1,0,25174.0,278,0,0
46,0,1,26059.0,253,1,1
30,0,1,22943.0,187,1,1
39,1,0,2630.0,198,0,0
77,0,1,55991.0,176,1,1
21,0,1,31091.0,134,0,0
27,0,1,24150.0,167,1,1
27,1,0,29501.0,66,0,0
69,0,1,34659.0,215,1,1
24,1,0,24468.0,161,0,0
43,0,1,38285.0,31,0,1
21,0,1,28600.0,200,1,1
27,1,0,41709.0,12,0,0
65,0,1,151034.0,148,0,1
51,0,1,2630.0,156,0,1
61,1,0,56929.0,72,0,0
39,1,0,29351.0,79,0,0
64,1,0,30536.0,296,0,0
60,0,1,40932.0,227,0,1
50,0,1,55007.0,120,1,1
66,0,1,47702.0,174,0,0
39,0,1,22703.0,43,1,1
